_	O
Chapter	O
I	O
_	O
Miss	O
Marjoribanks	O
lost	EVENT
her	O
mother	O
when	O
she	O
was	O
only	O
fifteen	O
,	O
and	O
when	O
,	O
to	O
add	O
to	O
the	O
misfortune	O
,	O
she	O
was	O
absent	EVENT
at	O
school	O
,	O
and	O
could	O
not	O
have	O
it	O
in	O
her	O
power	O
to	O
soothe	O
her	O
dear	O
mamma	O
's	O
last	O
moments	O
,	O
as	O
she	O
herself	O
said	EVENT
.	O

Words	O
are	O
sometimes	O
very	O
poor	O
exponents	O
of	O
such	O
an	O
event	O
:	O
but	O
it	O
happens	O
now	O
and	O
then	O
,	O
on	O
the	O
other	O
hand	O
,	O
that	O
a	O
plain	O
intimation	O
expresses	O
too	O
much	O
,	O
and	O
suggests	O
emotion	O
and	O
suffering	O
which	O
,	O
in	O
reality	O
,	O
have	O
but	O
little	O
,	O
if	O
any	O
,	O
existence	O
.	O

Mrs	O
Marjoribanks	O
,	O
poor	O
lady	O
,	O
had	O
been	O
an	O
invalid	O
for	O
many	O
years	O
;	O
she	O
had	O
grown	O
a	O
little	O
peevish	O
in	O
her	O
loneliness	O
,	O
not	O
feeling	O
herself	O
of	O
much	O
account	O
in	O
this	O
world	O
.	O

There	O
are	O
some	O
rare	O
natures	O
that	O
are	O
content	O
to	O
acquiesce	O
in	O
the	O
general	O
neglect	O
,	O
and	O
forget	O
themselves	O
when	O
they	O
find	O
themselves	O
forgotten	O
;	O
but	O
it	O
is	O
unfortunately	O
much	O
more	O
usual	O
to	O
take	O
the	O
plan	O
adopted	O
by	O
Mrs	O
Marjoribanks	O
,	O
who	O
devoted	O
all	O
her	O
powers	O
,	O
during	O
the	O
last	O
ten	O
years	O
of	O
her	O
life	O
,	O
to	O
the	O
solacement	O
and	O
care	O
of	O
that	O
poor	O
self	O
which	O
other	O
people	O
neglected	O
.	O

The	O
consequence	O
was	O
,	O
that	O
when	O
she	O
disappeared	EVENT
from	O
her	O
sofa	O
--	O
except	O
for	O
the	O
mere	O
physical	O
fact	O
that	O
she	O
was	O
no	O
longer	O
there	O
--	O
no	O
one	O
,	O
except	O
her	O
maid	O
,	O
whose	O
occupation	O
was	O
gone	O
,	O
could	O
have	O
found	O
out	O
much	O
difference	O
.	O

Her	O
husband	O
,	O
it	O
is	O
true	O
,	O
who	O
had	O
,	O
somewhere	O
,	O
hidden	O
deep	O
in	O
some	O
secret	O
corner	O
of	O
his	O
physical	O
organisation	O
,	O
the	O
remains	O
of	O
a	O
heart	O
,	O
experienced	O
a	O
certain	O
sentiment	O
of	O
sadness	EVENT
when	O
he	O
re-entered	EVENT
the	O
house	O
from	O
which	O
she	O
had	O
gone	EVENT
away	O
for	O
ever	O
.	O

But	O
Dr	O
Marjoribanks	O
was	O
too	O
busy	O
a	O
man	O
to	O
waste	O
his	O
feelings	O
on	O
a	O
mere	O
sentiment	O
.	O

His	O
daughter	O
,	O
however	O
,	O
was	O
only	O
fifteen	O
,	O
and	O
had	O
floods	O
of	O
tears	O
at	O
her	O
command	O
,	O
as	O
was	O
natural	O
at	O
that	O
age	O
.	O

All	O
the	O
way	O
home	O
she	O
revolved	EVENT
the	O
situation	EVENT
in	O
her	O
mind	O
,	O
which	O
was	O
considerably	O
enlightened	EVENT
by	O
novels	O
and	O
popular	O
philosophy	O
--	O
for	O
the	O
lady	O
at	O
the	O
head	O
of	O
Miss	O
Marjoribanks	O
school	O
was	O
a	O
devoted	O
