I	O
MAKING	O
GOOD	O
WITH	O
MOTHER	O
When	O
men	O
began	O
to	O
build	O
cities	O
vertically	O
instead	O
of	O
horizontally	O
there	O
passed	O
from	O
our	O
highways	O
a	O
picturesque	O
figure	O
,	O
and	O
from	O
our	O
language	O
an	O
expressive	O
figure	O
of	O
speech	O
.	O

That	O
oily-tongued	O
,	O
persuasive	O
,	O
soft-stepping	O
stranger	O
in	O
the	O
rusty	O
Prince	O
Albert	O
and	O
the	O
black	O
string	O
tie	O
who	O
had	O
been	O
wont	O
to	O
haunt	O
our	O
back	O
steps	O
and	O
front	O
offices	O
with	O
his	O
carefully	O
wrapped	O
bundle	O
,	O
retreated	EVENT
in	O
bewildered	O
defeat	EVENT
before	O
the	O
clanging	O
blows	EVENT
of	O
steel	O
on	O
steel	O
that	O
meant	O
the	O
erection	EVENT
of	O
the	O
first	O
twenty-story	O
skyscraper	O
.	O

"	O
As	O
slick	O
,	O
"	O
we	O
used	O
to	O
say	O
,	O
"	O
as	O
a	O
lightning-rod	O
agent	O
.	O
"	O

Of	O
what	O
use	O
his	O
wares	O
on	O
a	O
building	O
whose	O
tower	O
was	O
robed	O
in	O
clouds	O
and	O
which	O
used	O
the	O
chain	O
lightning	O
for	O
a	O
necklace	O
?	O

The	O
Fourth	O
Avenue	O
antique	O
dealer	O
had	O
another	O
curio	O
to	O
add	O
to	O
his	O
collection	O
of	O
andirons	O
,	O
knockers	O
,	O
snuff	O
boxes	O
and	O
warming	O
pans	O
.	O

But	O
even	O
as	O
this	O
quaint	O
figure	O
vanished	EVENT
there	O
sprang	EVENT
up	O
a	O
new	O
and	O
glittering	O
one	O
to	O
take	O
his	O
place	O
.	O

He	O
stood	O
framed	O
in	O
the	O
great	O
plate-glass	O
window	O
of	O
the	O
very	O
building	O
which	O
had	O
brought	O
about	O
the	O
defeat	EVENT
of	O
his	O
predecessor	O
.	O

A	O
miracle	O
of	O
close	O
shaving	O
his	O
face	O
was	O
,	O
and	O
a	O
marvel	O
of	O
immaculateness	O
his	O
linen	O
.	O

Dapper	O
he	O
was	O
,	O
and	O
dressy	O
,	O
albeit	O
inclined	O
to	O
glittering	O
effects	O
and	O
a	O
certain	O
plethory	O
at	O
the	O
back	O
of	O
the	O
neck	O
.	O

Back	O
of	O
him	O
stood	O
shining	O
shapes	O
that	O
reflected	O
his	O
glory	O
in	O
enamel	O
,	O
and	O
brass	O
,	O
and	O
glass	O
.	O

His	O
language	O
was	O
floral	O
,	O
but	O
choice	O
;	O
his	O
talk	O
was	O
of	O
gearings	O
and	O
bearings	O
and	O
cylinders	O
and	O
magnetos	O
;	O
his	O
method	O
differed	O
from	O
that	O
of	O
him	O
who	O
went	O
before	O
as	O
the	O
method	O
of	O
a	O
skilled	O
aëronaut	O
differs	O
from	O
that	O
of	O
the	O
man	O
who	O
goes	O
over	O
Niagara	O
in	O
a	O
barrel	O
.	O

And	O
as	O
he	O
multiplied	O
and	O
spread	O
over	O
the	O
land	O
we	O
coined	EVENT
a	O
new	O
figure	O
of	O
speech	O
.	O

"	O
Smooth	O
!	O
"	O
we	O
chuckled	EVENT
.	O

"	O
As	O
smooth	O
as	O
an	O
automobile	O
salesman	O
.	O
"	O

But	O
even	O
as	O
we	O
listened	EVENT
,	O
fascinated	O
by	O
his	O
fluent	O
verbiage	EVENT
there	O
grew	O
within	O
us	O
a	O
certain	O
resentment	EVENT
.	O

Familiarity	O
with	O
his	O
glittering	O
wares	O
bred	O
a	O
contempt	O
of	O
them	O
,	O
so	O
that	O
he	O
fell	O
to	O
speaking	O
of	O
them	O
as	O
necessities	O
instead	O
of	O
luxuries	O
.	O

He	O
juggled	EVENT
figures	O
,	O
and	O
thought	O
nothing	O
of	O
four	O
of	O
them	O
in	O
a	O
row	O
.	O

We	O
looked	EVENT
at	O
our	O
five-thousand-dollar	O
salary	O
,	O
so	O
strangely	O
shrunken	EVENT
and	O
thin	O
now	O
,	O
and	O
even	O
as	O
we	O
looked	EVENT
we	O
saw	O
that	O
the	O
method	O
of	O
the	O
unctuous	O
,	O
anxious	O
stranger	O
had	O
become	O
antiquated	O
in	O
its	O
turn	O
.	O

Then	O
from	O
his	O
ashes	O
emerged	EVENT
a	O
new	O
being	O
.	O

Neither	O
urger	O
nor	O
spellbinder	O
he	O
.	O

The	O
twentieth	O
century	O
was	O
stamped	O
across	O
his	O
brow	O
,	O
and	O
on	O
his	O
lips	O
was	O
ever	O
the	O
word	O
"	O
Service	O
.	O
"	O

Silent	O
,	O
courteous	O
,	O
watchful	O
,	O
alert	O
,	O
he	O
listened	O
,	O
while	O
you	O
talked	O
