CHAPTER	O	O	O	O	
I	O	O	O	O	
THE	B-PER	O	O	O	
STRANGE	I-PER	O	O	O	
MAN	I-PER	O	O	O	
'S	O	O	O	O	
ARRIVAL	O	O	O	O	
The	B-PER	O	O	O	
stranger	I-PER	O	O	O	
came	O	O	O	O	
early	O	O	O	O	
in	O	O	O	O	
February	O	O	O	O	
,	O	O	O	O	
one	O	O	O	O	
wintry	O	O	O	O	
day	O	O	O	O	
,	O	O	O	O	
through	O	O	O	O	
a	O	O	O	O	
biting	O	O	O	O	
wind	O	O	O	O	
and	O	O	O	O	
a	O	O	O	O	
driving	O	O	O	O	
snow	O	O	O	O	
,	O	O	O	O	
the	O	O	O	O	
last	O	O	O	O	
snowfall	O	O	O	O	
of	O	O	O	O	
the	O	O	O	O	
year	O	O	O	O	
,	O	O	O	O	
over	O	O	O	O	
the	O	O	O	O	
down	O	O	O	O	
,	O	O	O	O	
walking	O	O	O	O	
from	O	O	O	O	
Bramblehurst	B-GPE	B-FAC	O	O	
railway	O	I-FAC	O	O	
station	O	I-FAC	O	O	
,	O	O	O	O	
and	O	O	O	O	
carrying	O	O	O	O	
a	O	O	O	O	
little	O	O	O	O	
black	O	O	O	O	
portmanteau	O	O	O	O	
in	O	O	O	O	
his	O	O	O	O	
thickly	O	O	O	O	
gloved	O	O	O	O	
hand	O	O	O	O	
.	O	O	O	O	

He	O	O	O	O	
was	O	O	O	O	
wrapped	O	O	O	O	
up	O	O	O	O	
from	O	O	O	O	
head	O	O	O	O	
to	O	O	O	O	
foot	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
the	O	O	O	O	
brim	O	O	O	O	
of	O	O	O	O	
his	O	O	O	O	
soft	O	O	O	O	
felt	O	O	O	O	
hat	O	O	O	O	
hid	O	O	O	O	
every	O	O	O	O	
inch	O	O	O	O	
of	O	O	O	O	
his	O	O	O	O	
face	O	O	O	O	
but	O	O	O	O	
the	O	O	O	O	
shiny	O	O	O	O	
tip	O	O	O	O	
of	O	O	O	O	
his	O	O	O	O	
nose	O	O	O	O	
;	O	O	O	O	
the	O	O	O	O	
snow	O	O	O	O	
had	O	O	O	O	
piled	O	O	O	O	
itself	O	O	O	O	
against	O	O	O	O	
his	O	O	O	O	
shoulders	O	O	O	O	
and	O	O	O	O	
chest	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
added	O	O	O	O	
a	O	O	O	O	
white	O	O	O	O	
crest	O	O	O	O	
to	O	O	O	O	
the	O	O	O	O	
burden	O	O	O	O	
he	O	O	O	O	
carried	O	O	O	O	
.	O	O	O	O	

He	O	O	O	O	
staggered	O	O	O	O	
into	O	O	O	O	
the	O	O	O	O	
"	O	O	O	O	
Coach	B-VEH	O	O	O	
and	I-VEH	O	O	O	
Horses	I-VEH	O	O	O	
"	O	O	O	O	
more	O	O	O	O	
dead	O	O	O	O	
than	O	O	O	O	
alive	O	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
flung	O	O	O	O	
his	O	O	O	O	
portmanteau	O	O	O	O	
down	O	O	O	O	
.	O	O	O	O	

"	O	O	O	O	
A	O	O	O	O	
fire	O	O	O	O	
,	O	O	O	O	
"	O	O	O	O	
he	O	O	O	O	
cried	O	O	O	O	
,	O	O	O	O	
"	O	O	O	O	
in	O	O	O	O	
the	O	O	O	O	
name	O	O	O	O	
of	O	O	O	O	
human	O	O	O	O	
charity	O	O	O	O	
!	O	O	O	O	

A	B-FAC	O	O	O	
room	I-FAC	O	O	O	
and	O	O	O	O	
a	O	O	O	O	
fire	O	O	O	O	
!	O	O	O	O	
"	O	O	O	O	

He	O	O	O	O	
stamped	O	O	O	O	
and	O	O	O	O	
shook	O	O	O	O	
the	O	O	O	O	
snow	O	O	O	O	
from	O	O	O	O	
off	O	O	O	O	
himself	O	O	O	O	
in	O	O	O	O	
the	B-FAC	O	O	O	
bar	I-FAC	O	O	O	
,	O	O	O	O	
and	O	O	O	O	
followed	O	O	O	O	
Mrs.	B-PER	B-PER	O	O	
Hall	O	I-PER	O	O	
into	O	O	O	O	
her	B-FAC	O	O	O	
guest	I-FAC	O	O	O	
parlour	I-FAC	O	O	O	
to	O	O	O	O	
strike	O	O	O	O	
his	O	O	O	O	
bargain	O	O	O	O	
.	O	O	O	O	

And	O	O	O	O	
with	O	O	O	O	
that	O	O	O	O	
much	O	O	O	O	
introduction	O	O	O	O	
,	O	O	O	O	
that	O	O	O	O	
and	O	O	O	O	
a	O	O	O	O	
couple	O	O	O	O	
of	O	O	O	O	
sovereigns	O	O	O	O	
flung	O	O	O	O	
